Country Name,Series,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..,..
Afghanistan,"Gross enrolment ratio, primary, female (%)",..,21.54541,20.73737,20.38771,19.21422,..,14.89356,26.49335,28.6594,..,..,..,3.84434,0,0,42.82885,66.69796,62.591,71.81207,77.6684,74.82184,77.98242,76.51035,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,..,..
Afghanistan,"Gross enrolment ratio, primary, gender parity index (GPI)",..,0.50193,0.52874,0.5485,0.54788,..,0.35307,0.5058,0.51505,..,..,..,0.0849,0,0,0.45693,0.5622,0.43282,0.58334,0.62357,0.61379,0.63642,0.6575,0.67981,0.71258,0.72026,0.70286,0.69825,0.68081,0.67937,0.67617,0.66691,..,..
Afghanistan,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,1979198,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,3.44698,3.81464,3.08351,3.37947,3.53698,3.59293,3.43017,3.4587,3.1178,3.13824,3.22752,3.28155,3.19146,3.27593,..,..,..,..,..,3.5393,..,3.43797,3.96209,3.61172,..,..,..
Albania,"Gross enrolment ratio, primary, female (%)",100.2263,100.08237,99.7493,99.68872,101.4418,100.39709,100.27136,100.8794,102.34688,104.85651,106.12852,105.47271,104.72027,104.04386,103.78212,101.11178,100.49498,98.86424,100.95622,98.30409,96.73367,95.80653,92.96703,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361,..
Albania,"Gross enrolment ratio, primary, gender parity index (GPI)",0.97686,1.00966,1.00604,1.00459,1.00398,1.01642,1.03497,0.98764,0.96867,0.97385,0.96628,0.96947,0.98146,0.99717,1.01539,0.99434,1.00944,1.0135,1.00536,1.00844,1.00776,1.00249,0.99718,1.00642,1.01557,1.01601,1.02221,1.03682,1.0313,1.03555,1.03224,1.03765,1.02963,..
Albania,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,8857,12550,16338,..,20987,22233,..,..,..,23142,32820,29727,24907,16471,9113,4527,3929,3988,3628,4085,3359,..
Algeria,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.33702,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,"Gross enrolment ratio, primary, female (%)",81.10196,82.94555,83.6585,84.44876,86.44249,88.86042,89.59785,90.80513,91.2706,92.87392,94.34884,95.86904,97.96343,100.49943,99.5018,100.93995,101.64258,102.69638,103.3146,103.94681,105.71126,105.58136,108.56269,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988,..
Algeria,"Gross enrolment ratio, primary, gender parity index (GPI)",0.81908,0.82773,0.83652,0.84105,0.84636,0.85611,0.86409,0.87503,0.88299,0.89235,0.89921,0.90671,0.91265,0.91668,0.9183,0.92461,0.92375,0.92588,0.92509,0.92651,0.93389,0.93659,0.9359,0.93749,0.9384,0.94445,0.94841,0.95096,0.9523,0.94972,0.95093,0.95499,0.95585,..
Algeria,"Out-of-school children of primary school age, both sexes (number)",679124,652265,623454,614621,549637,510013,539814,548351,541872,565833,592222,..,462619,426108,329083,272111,245671,207294,186567,169018,153328,98566,29031,30997,26336,24848,..,..,23175,26224,19722,14211,16430,..
American Samoa,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.62928,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,"Gross enrolment ratio, primary, female (%)",99.34765,100.02644,99.66718,100.09913,93.93064,88.10192,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,"Gross enrolment ratio, primary, gender parity index (GPI)",0.98081,1.01577,1.01789,1.02306,1.02778,1.01761,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,3.71328,..,..,..,..,1.65971,..,1.54412,1.64497,2.2449,2.10469,2.87393,3.14292,2.97663,2.98706,..,2.50616,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162,..
Andorra,"Gross enrolment ratio, primary, female (%)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,Government expenditure on education as % of GDP (%),5.05851,..,..,..,..,..,..,..,..,..,..,2.56712,..,2.60753,..,..,..,..,2.12011,2.28146,..,..,..,3.42132,..,..,..,..,..,..,..,..,..,..
Angola,"Gross enrolment ratio, primary, female (%)",71.37289,69.01808,70.53279,69.7545,63.79913,59.38598,..,..,..,..,..,64.8345,..,..,..,..,..,..,..,..,..,96.4359,94.88482,94.05665,92.45637,..,..,..,105.88815,..,..,..,..,..
Angola,"Gross enrolment ratio, primary, gender parity index (GPI)",0.8144,0.7951,0.83237,0.91347,0.91345,0.85863,..,..,..,..,..,0.82797,..,..,..,..,..,..,..,..,..,0.84569,0.83605,0.79943,0.62922,..,..,..,0.87413,..,..,..,..,..
Angola,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,1025431,..,..,..,..,..,..,..,..,..,655870,728219,730775,773837,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,2.75397,..,..,3.39428,..,..,..,..,..,..,2.51724,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,"Gross enrolment ratio, primary, female (%)",..,..,..,..,..,99.91251,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112.50746,111.06027,108.63066,107.29104,106.41579,105.35117,..,103.29183,103.16389,..,102.82641,104.59891,..,..
Antigua and Barbuda,"Gross enrolment ratio, primary, gender parity index (GPI)",..,..,..,..,..,0.95223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.96462,0.94677,0.95038,0.91542,0.92814,0.95211,..,0.94992,0.96619,..,0.98406,0.99208,..,..
Antigua and Barbuda,"Out-of-school children of primary school age, both sexes (number)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91,66,196,368,170,431,..,534,117,..,235,66,..,..
Arab World,Government expenditure on education as % of GDP (%),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.6707201,..,..,..,4.282284975,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,"Gross enrolment ratio, primary, female (%)",73.12195,73.47815,74.01044,74.86571,75.3194,73.58079,74.41683,76.86598,76.30507,77.01262,79.16918,80.08747,81.55508,82.6064,83.88853,85.35558,86.60583,87.19549,87.89547,88.88958,89.47412,90.65587,91.19877,92.08309,91.42187,93.87269,92.85067,92.77944,92.52657,92.39304,92.61421,92.84049,93.07939,..
