LOCATION,TIME,Value
AUS,1960,2409.058207
AUS,1961,2379.705491
AUS,1962,2573.580478
AUS,1963,2748.475664
AUS,1964,2898.335391
AUS,1965,2997.714205
AUS,1966,3270.894847
AUS,1967,3442.171342
AUS,1968,3827.600452
AUS,1969,4201.74299
AUS,1970,4638.888936
AUS,1971,4849.919426
AUS,1972,5195.435143
AUS,1973,5779.516501
AUS,1974,6228.471482
AUS,1975,6919.657558
AUS,1976,7376.230734
AUS,1977,7706.213573
AUS,1978,8529.813526
AUS,1979,9429.932785
AUS,1980,10448.46518
AUS,1981,11922.77926
AUS,1982,11957.27114
AUS,1983,12739.97025
AUS,1984,13563.24343
AUS,1985,14468.52587
AUS,1986,14952.07856
AUS,1987,16010.94334
AUS,1988,17079.29336
AUS,1989,17782.18755
AUS,1990,17786.97831
AUS,1991,18126.138
AUS,1992,19094.49678
AUS,1993,20118.48044
AUS,1994,21349.56528
AUS,1995,22353.99456
AUS,1996,23220.09089
AUS,1997,24403.02172
AUS,1998,25630.46874
AUS,1999,27098.22128
AUS,2000,28252.62989
AUS,2001,29493.21486
AUS,2002,30740.9629
AUS,2003,32248.25584
AUS,2004,33865.90651
AUS,2005,35570.80802
AUS,2006,37842.93398
AUS,2007,39596.04008
AUS,2008,40094.83321
AUS,2009,41614.09072
AUS,2010,42787.06596
AUS,2011,44419.30975
AUS,2012,43879.18036
AUS,2013,47761.21406
AUS,2014,47644.76279
AUS,2015,47317.2507
AUS,2016,50237.79443
AUS,2017,51011.46292
AUS,2018,54262.88285
AUS,2019,54262.61756
AUT,1970,3820.28559
AUT,1971,4200.05549
AUT,1972,4627.093401
AUT,1973,5090.842355
AUT,1974,5757.920938
AUT,1975,6285.003672
AUT,1976,6946.30262
AUT,1977,7749.721586
AUT,1978,8284.054924
AUT,1979,9468.043277
AUT,1980,10502.03026
AUT,1981,11449.92693
AUT,1982,12392.95259
AUT,1983,13282.68877
AUT,1984,13769.81382
AUT,1985,14553.38822
AUT,1986,15178.50326
AUT,1987,15754.9083
AUT,1988,16824.39702
AUT,1989,18081.94227
AUT,1990,19425.41078
AUT,1991,20567.1153
AUT,1992,21241.15017
AUT,1993,21679.45288
AUT,1994,22587.17634
AUT,1995,23639.8277
AUT,1996,24500.22105
AUT,1997,25417.86248
AUT,1998,26673.95101
AUT,1999,27606.48424
AUT,2000,29388.78496
AUT,2001,29715.63602
AUT,2002,31178.05144
AUT,2003,32123.69619
AUT,2004,33756.25941
AUT,2005,35024.55748
AUT,2006,37614.94276
AUT,2007,39384.18962
AUT,2008,41316.02264
AUT,2009,40957.26232
AUT,2010,42053.24337
